word	source_pages
а-лым	gram/fonomorph/fonproc.htm
а-пп-аҡ	gram/fonomorph/zvizmprired.htm
а-ты	gram/zvuk/slog.htm
а-ғыраҡ	gram/zvuk/slog.htm
а-ҙаш	gram/fonomorph/fonproc.htm
аб-ын	gram/morphol/glagol/vnutriglaol.htm
австралиец	gram/alfavit/princpisma.htm
австралиялы	gram/alfavit/princpisma.htm
адаҡ	gram/zvuk/sredneyaz.htm
азад	gram/morphol/suchestv/affik.htm
айаҡ	gram/zvuk/sredneyaz.htm
айн	gram/morphol/mejdomet/mejdomet.htm
айыу-ҙай	gram/zvuk/izmen.htm
айыубалан	gram/morphol/suchestv/parsych.htm
акил	gram/morphol/suchestv/affik.htm
активно	gram/syntax/predlojenie/tipypredl/slojnpredl/slojnpodchpred/pridatpodlej.htm
актовый	gram/morphol/prilag/zaimaffi.htm
ал-ды	gram/zvuk/slog.htm
ал-ма	gram/zvuk/slog.htm
ал-ма-й	gram/fonomorph/fonproc.htm
ал-ты	gram/zvuk/slog.htm
ал-ын	gram/morphol/glagol/stradzalog.htm
алаңҡуһар	gram/morphol/prilag/neprodaffi.htm
алд	gram/morphol/vvodzam.htm;gram/zvuk/per.htm
алда-н	gram/morphol/glagol/stradzalog.htm
алдымығыҙ	gram/zvuk/izmen.htm
алдын-ғы	gram/zvuk/izmen.htm
алдыниһәң	gram/morphol/glagol/naklonuslov.htm;gram/syntax/predlojenie/skazuem.htm
алдыңғы	gram/zvuk/izmen.htm
алйырыш	gram/morphol/glagol/obrslojgl.htm
алттау	gram/morphol/chislit/kolchslit.htm
алтун	gram/zvuk/glzr.htm
алтымыш	gram/morphol/chislit/obchchar1.htm
алыб	gram/zvuk/sog.htm
алыу-ға	gram/morphol/vvodzam.htm
аль	gram/morphol/prilag/nulaffi.htm
алғаммын	gram/zvuk/izmen.htm
алған-быҙ	gram/fonomorph/fonproc.htm
алғышарт	gram/morphol/suchestv/parsych.htm
алҡы-һалҡы	gram/alfavit/princpisma.htm
амп	gram/alfavit/princpisma.htm
амты	gram/zvuk/glpr.htm
