rank	word	occurrences	verdict	reason	example_ba	parallel_ru	corpus
1	ҙән	2802	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Облигацияларҙың күбеһе 1941-ҙән 1957-гә тиклем арауыҡта алынған.	Большинство облигаций было приобретено с 1941 по 1957 год.	https://t.me/bashkort_translate_bot
2	тарихы	2226	ложное срабатывание / формула	основа тарих ошибочно отнесена к мягкому N14; нужна твёрдая парадигма N13	Ул тәгәрмәсле тырылдаҡтың да үҙ тарихы бар.	У этой трехколесной тарахтелки тоже есть своя история.	https://t.me/bashkort_translate_bot
3	респ	2032	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Галерея янында эшләгән “халыҡ” исеменә эйә ижади коллективтарҙың (2005 й. — 7) эшмәкәрлеген күҙәтә. 2002 й. башлап “Тамға” күргәҙмә проекты сиктәрендә йыл һайын нәфис кейеҙ сәнғәте өлкәһендә ижад иткән оҫталар ҡатнашлығында респ. семинарҙары үткәрә.	Курирует деятельность существующих при галерее художественных коллективов, имеющих звание “народный” (в 2005 – 7). С 2002 в рамках выставочного проекта “Тамга” ежегодно проводит республиканские семинары с участием народных мастеров, работающих в области войлока художественного.	bashkir encyclopedia
4	күҙаллана	1984	ложное срабатывание / формула	нормативный пассив/настоящее; нет цепочки -ла-н-а, а V35 даёт ошибочное күҙалланый	Исламға тиклемге инаныуҙарҙа йыш ҡына дейеү, бәрейгә оҡшаған исемһеҙ йән эйәһе итеп күҙаллана.	В доисламских верованиях выступает как неперсонифицированное божество, которое часто ассоциировалось с дию, пярий.	bashkir encyclopedia
5	станц	1696	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Административ үҙәге — Борай а., Өфөнән төньяҡҡа 152 км һәм Яңауыл тимер юл станц. көньяҡ-көнсығышҡа табан 68 км алыҫлыҡта ята.	Административный центр — с. Бураево, находится в 152 км к С. от Уфы и 68 км к Ю.-В. от железнодорожной станции Янаул.	bashkir encyclopedia
6	млн	1585	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Антарктида – Көньяҡ ҡотоп өлкәһенең үҙәк өлөшөндәге ҡитға. Майҙаны – 13,9 млн. кв. км.	Антарктида – материк в центральной части южной полярной области, примыкающий к Южному полюсу, площадью 13,9 млн. кв. км.	https://t.me/bashkort_translate_bot
7	тиклемге	1548	ложное срабатывание / формула	нормативная форма подтверждена академической грамматикой; B02/D02 не даёт -ге	— Совет власына тиклемге атамаһы Муллаҡай ине.	— До прихода советской власти называлась она Муллакай.	https://t.me/bashkort_translate_bot
8	нән	1490	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Билдәләнгән тәртип буйынса, ысын хеҙмәткә кеше 20-нән 50 йәшкә тиклем алынырға, унан һуң эске хеҙмәткә күсерелергә тейеш булған.	По установленному порядку, на службу должны были идти мужчины от 25 до 50 лет, послу этого они должны были переведены на внутреннюю службу.	https://t.me/bashkort_translate_bot
9	етәкс	1264	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Г. етәкс. БР йыйылма командаһы Рәсәй чемпион була һәм Рәсәй Кубогын яулай (1993—94, 1996).	Под руководством Г. сборная команда РБ стала чемпион России и обладателем Кубка России (1993—94, 1996).	bashkir encyclopedia
10	тотондо	1228	ложное срабатывание / формула	тотон ошибочно V01; округлённая парадигма V03 даёт тотондо	Ул да булмай, йәшен ялтырарға, күк күкрәргә тотондо.	Дождь все не шел. Вспышки молнии становились все ярче, удары грома становились все грознее.	https://t.me/bashkort_translate_bot
11	губерн	1225	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	ДӘҮЛӘТШИНА Һәҙиә Лотфулла ҡыҙы [21.2.1905, Һамар губерн. Николаевск өйәҙе Хәсән а. (Һамар өлк. Оло Чернигов районы) — 5.12.1954, Бөрө ҡ.], яҙыусы.	ДАВЛЕТШИНА Хадия Лутфулловна (21.2.1905, д. Хасаново Николаевского уезда Самарской губернии, ныне д. Хасьяново Большечерниговского района Самарской обл., – 5.12.1954, г. Бирск), писательница.	bashkir encyclopedia
12	тиҙәр	1115	ложное срабатывание / формула	нерегулярная парадигма ти не описана	«Беләбеҙ, кәрәкмәй, зинһар, һөйләмә», – тиҙәр.	— Не говори об этом, мы уже знаем, пожалуйста, перестань!	https://t.me/bashkort_translate_bot
13	өлк	1074	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	ДӘҮЛӘТШИНА Һәҙиә Лотфулла ҡыҙы [21.2.1905, Һамар губерн. Николаевск өйәҙе Хәсән а. (Һамар өлк. Оло Чернигов районы) — 5.12.1954, Бөрө ҡ.], яҙыусы.	ДАВЛЕТШИНА Хадия Лутфулловна (21.2.1905, д. Хасаново Николаевского уезда Самарской губернии, ныне д. Хасьяново Большечерниговского района Самарской обл., – 5.12.1954, г. Бирск), писательница.	bashkir encyclopedia
14	инновацион	956	ложное срабатывание / покрытие словаря	нормативный современный термин, но основы нет в словаре	Иван үҙенең инновацион идеялары менән билдәле.	Иван известен своими инновационными идеями.	https://t.me/bashkort_translate_bot
15	ның	925	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	— Ә был «Даная»ның легендаһы бармы?	— Ay этой «Данаи» есть легенда?	https://t.me/bashkort_translate_bot
