word	after	source_pages
алмаҡ	accepted	gram/morphol/glagol/naklonnamer.htm
арзанландыр	accepted	gram/morphol/glagol/ponudzalog.htm
ағайыңмын	accepted	gram/morphol/suchestv/grammkatsych/katskaz.htm
аҙраҡ	accepted	gram/alfavit/princpisma.htm
аҡа	rejected	gram/morphol/prilag/slojaffi.htm
аҡрынлана	accepted	gram/morphol/glagol/naklonuslov.htm
аҡрынлаһам	accepted	gram/morphol/glagol/naklonuslov.htm
балаларыһығыҙ	accepted	gram/syntax/predlojenie/podlej.htm
бирмәк	accepted	gram/morphol/glagol/imyadeyst.htm
боралт	accepted	gram/zvuk/izmen.htm
боҫорап	accepted	gram/syntax/predlojenie/tipypredl/slojnpredl/bessouzslojnosochpredl.htm
булмаҡ	accepted	gram/morphol/prilag/obchchar.htm
булғыры	accepted	gram/morphol/mejdomet/mejdomet.htm
бушайт	accepted	gram/morphol/glagol/ponudzalog.htm
бушһа	rejected	gram/syntax/slovosochet/narechslovosoch.htm
бый	rejected	gram/morphol/prilag/maloprodaffi.htm
быйылға	accepted	gram/morphol/souzy/protivsouz.htm
былҡ	accepted	gram/morphol/podrajslova/structpodrsl.htm
бәргес	accepted	gram/morphol/suchestv/affik.htm
бөгөндәр	accepted	gram/syntax/predlojenie/tipypredl/slojnpredl/uslojslojpred/slpredodnaglav.htm
бөгөндәре	accepted	gram/morphol/suchestv/grammkatsych/chislo4.htm
елберҙәгән	accepted	gram/syntax/predlojenie/odnorpodlej.htm
жар	accepted	gram/alfavit/princpisma.htm
иреммә	rejected	gram/zvuk/izmen.htm
иртәгәләре	accepted	gram/morphol/narechie/adverb.htm;gram/morphol/suchestv/grammkatsych/chislo4.htm
йотҡоро	accepted	gram/morphol/glagol/naklonjelan.htm
йып	rejected	gram/zvuk/glpr2.htm
йыуыңҡырау	accepted	gram/morphol/glagol/imyadeyst.htm
йыуғылау	accepted	gram/morphol/glagol/imyadeyst.htm
йүр	accepted	gram/zvuk/glpr.htm
китапханаламын	accepted	gram/morphol/suchestv/grammkatsych/padezkat.htm
китергес	accepted	gram/morphol/prilag/sostavprilag.htm
конькиҙәр	accepted	gram/morphol/suchestv/grammkatsych/chislo.htm
күрмәк	accepted	gram/morphol/glagol/infinformgl.htm
кәз-кәз	accepted	gram/morphol/podrajslova/zvatslova.htm
көтмәк	accepted	gram/morphol/glagol/moddolj.htm
легалләш	accepted	gram/morphol/glagol/affiks.htm
магнитланыш	accepted	gram/morphol/suchestv/affik.htm
маҡаһын	accepted	gram/morphol/prilag/prodaffi.htm
мығырҙаны	accepted	gram/syntax/predlojenie/skazuem.htm
ойа	rejected	gram/zvuk/glzr.htm
орға	rejected	gram/morphol/glagol/infinformgl.htm
отторош	accepted	gram/morphol/suchestv/affik.htm
популярлаш	accepted	gram/morphol/glagol/affiks.htm
сабанлан	accepted	gram/morphol/glagol/affiks.htm
сапмаҡ	accepted	gram/morphol/glagol/imyadeyst.htm
саҡҡыры	accepted	gram/morphol/glagol/naklonjelan.htm
сереткес	accepted	gram/morphol/prilag/prodaffi.htm
серкелдә	accepted	gram/morphol/glagol/affiks.htm
сыҡмаҡ	accepted	gram/morphol/glagol/imyadeyst.htm
сән	accepted	gram/morphol/prilag/prodaffi.htm
тайғаҡлата	accepted	gram/syntax/predlojenie/tipypredl/beslichpred.htm
таңҡа	accepted	gram/zvuk/izmen.htm
тунған	rejected	gram/zvuk/izmen.htm
тыр	rejected	gram/alfavit/princpisma.htm;gram/fonomorph/fonproc.htm;gram/morphol/glagol/affiks.htm;gram/morphol/glagol/ponudzalog.htm;gram/morphol/glagol/vnutriglaol.htm;gram/morphol/mestoim/neopredmestoim.htm;gram/morphol/podrajslova/structpodrsl.htm;gram/morphol/prilag/maloprodaffi.htm
тыға-тыға	accepted	gram/syntax/predlojenie/tipypredl/vstavpred.htm
тәрәнлән	accepted	gram/morphol/glagol/affiks.htm
уйнамаҡ	accepted	gram/morphol/glagol/imyadeyst.htm
уҙышлай	accepted	gram/morphol/glagol/deeprnayshlai.htm
уҡыштыр	accepted	gram/morphol/glagol/obchchar.htm
шуныҡы	accepted	gram/morphol/mestoim/pritmestoim.htm
ысҡындыр	accepted	gram/morphol/glagol/katotritc.htm
ышлай	accepted	gram/morphol/glagol/katotritc.htm;gram/morphol/morhol1.html;gram/syntax/predlojenie/skazuem.htm
эстәрен	accepted	gram/morphol/glagol/deeprnap.htm;gram/syntax/predlojenie/obstoyatobrdei.htm
эсәр-әсмәҫ	rejected	gram/syntax/slovosochet/glagslovsprimclenfvy.htm
эшләмәк	accepted	gram/morphol/glagol/moddolj.htm
ябайлаш-тыр	rejected	gram/fonomorph/fonproc.htm
ярыштыра	accepted	gram/morphol/chislit/sobirchslit.htm
ятҡыҙ	accepted	gram/zvuk/per.htm
яуа	accepted	gram/morphol/glagol/vremyanast.htm;gram/morphol/suchestv/grammkatsych/mestpadez.htm
ҙурымын	accepted	gram/morphol/suchestv/grammkatsych/katskaz.htm
ҡағышы	accepted	gram/morphol/souzy/podchsouz.htm
ҡаҙалғыры	accepted	gram/morphol/glagol/naklonjelan.htm
ҡомоҡҡан	accepted	gram/morphol/prilag/adekt.htm
ҡорғоро	accepted	gram/morphol/glagol/naklonjelan.htm
ҡырыҫай	accepted	gram/morphol/glagol/affiks.htm
үрмәк	accepted	gram/morphol/suchestv/affik.htm
һеҙҙекенсә	accepted	gram/alfavit/princpisma.htm
һеҙҙенсә	accepted	gram/alfavit/princpisma.htm
һумпай	accepted	gram/morphol/prilag/maloprodaffi.htm
һуҡҡыры	accepted	gram/morphol/glagol/naklonjelan.htm
һуҡҡырын	accepted	gram/morphol/glagol/naklonsoslag.htm
һыйлылығы	accepted	gram/morphol/suchestv/grammkatsych/osnpadez.htm
һымаҡһың	accepted	gram/morphol/suchestv/grammkatsych/osnpadez.htm
һығыҙ	rejected	algram/such.htm;gram/morphol/suchestv/grammkatsych/katskaz.htm
һүнмәҫлек	accepted	gram/morphol/suchestv/affik.htm
һүҙ-сән	accepted	gram/zvuk/izmen.htm
һөйрәш	accepted	gram/syntax/svyazislov/glagupravlenie.htm
ә-сә	accepted	gram/zvuk/zv1.html
әйбәтләп	accepted	gram/morphol/glagol/deeprnagansa.htm;gram/morphol/glagol/deeprnap2.htm
әйтмәк	accepted	gram/morphol/glagol/naklonuslov.htm
әҙрәк	accepted	gram/alfavit/princpisma.htm
өйҙәһегеҙ	accepted	gram/morphol/suchestv/grammkatsych/padezkat.htm
өргә	accepted	gram/morphol/glagol/infinformgl.htm
